Category,Complexity,Questions,Sample Answer,
,,"Why are methods like stop(), suspend() and resume() depricated?","stop() - Stopping a thread causes it to unlock all the
monitors that it has locked. If any of the objects previously protected by these
monitors were in an inconsistent state, the damaged objects become visible
to other threads, potentially resulting in arbitrary behavior

suspend() / resume() - If the target thread
holds a lock on the monitor protecting a critical system resource when it is
suspended, no thread can access this resource until the target thread is
resumed. If the thread that would resume the target thread attempts to lock
this monitor prior to calling resume, deadlock results",
thread,,What is deadlock?,"Deadlock is a situation when two threads are waiting on each other to release a resource.
Each thread waiting for a resource which is held by the other waiting thread.",
,,Example for deadlock?,2 treads hold the lock on different resoursec of an object in differerent order,
thread,,How do you avoid a deadlock?,"Don't use locks.
If you must, keep your locks local. Global locks can be really tricky.
Do as little as possible when you hold the lock.
Use stripes to only lock segments of your data.
Prefer Immutable types. ...
Think in design time about deadlocks
Document the lock specifics

tryLock() - returns boolean // lock returns void",
thread,,What is livelock?,when two or more threads actively try to acquire a set of locks,
thread,,What is race conditioning?,"an undesirable result that occurs when two tasks which should be completed sequentially 
are completed at the same time",
,,What is starvation?,Low priorities threads don't be executed,
thread,,What is Lock interface in Java?,"A java.util.concurrent.locks.Lock is a thread synchronization mechanism just like 
synchronized blocks. A Lock is, however, more flexible and more sophisticated than a 
synchronized block. Since Lock is an interface, you need to use one of its implementations to 
use a Lock in your applications. ReentrantLock is one such implementation of Lock interface.",
thread,,"Parallel vs concurrent vs Asynchronous execution 
- Compare the two approaches for execution in the same time","- Parallel programs distribute their tasks to multiple processors, 
  that actively work on all of them simultaneously.
- Concurrent programs handle tasks that are all in progress at the same time, but it is only 
  necessary to work briefly and separately on each task, so the work can be interleaved in 
  whatever order the tasks require.
- An asynchronous program dispatches tasks to devices that can take care of themselves, 
leaving the program free do something else until it receives a signal that the results are finished.",
thread,,Which are the Threadsafe types?,"AtomicBoolean – atomically updatable Boolean value
AtomicInteger – atomically updatable int value, inherits from the number class
AtomicIntegerArray – an int array in which elements can be updated atomically
AtomicLong
AtomicLongArray
AtomicReference<V> - an atomically updatable object reference of type V
AtomicReferenceArray<E> - an atomically updatable array that can hold object references of type E 
                                              (E refers to be base type of elements)",
thread,,Which one is better Lock object or synchronized block?,Lock object better to use than the synchronized block. Locks also support the wait/notify mechanism.,
thread,,What is the benefit of using synchronized keyword over Lock?,"The advantage of using the synchronized keyword (implicit locking) is that you don’t have to
remember to release the lock in a finally block since, at the end of the synchronized block 
(or method), code will be generated to automatically release the lock.
Although this is a useful feature, there are some situations where you may need to control the 
release of the lock manually (to release it other than at the end of that block) 
and the Lock objects provide this flexibility. 
However it is your responsibility to ensure that you release the lock in a finally block while using Lock objects",
thread,,How can we force a thread to wait the execution of other thread?,"If you want to make a thread wait for another thread you can ask it to wait for the wait object 
using the wait() method. A thread remains in the wait state until some other 
thread calls notify() or notifyAll()",
thread,,"Is java.concurrent.locks.Lock object released automatically when
an exception occur.","If a synchronized method throws an exception in its execution the lock acquired by the method 
due to the usage of synchronized keyword is released automatically. The Java exception mechanism
is integrated with the Java synchronization model, so that locks are released if synchronized
statements and invocation of synchronized method complete abruptly. This is not applied to
java.concurrent.locks.Lock. These locks must be released by the programmer explicitly and the
recommended pattern of usage is to be released in finally block.
Note: Only AtomicInteger and AtomicLong extend from Number class. 
           All other classes in java.util.concurrent.atomic inherit directly from Object class. ",
thread,,"What will happen if we call notify/notifyAll without acquiring 
the relevant lock?",Call wait and notify/notifyAll only after acquiring the relevant lock (иначе IllegalMonitorException),
thread,,What is the difference between notify() and notifyAll() methods?,"notify() wakes up one thread waiting for the lock (the first thread that called wait() on that lock)
notifyAll() wakes up all threads waiting for the Lock. The JVM selects one of the threads from 
the list of threads waiting for the lock and wakes that thread up. ",
thread,,Is it possible to separate the locks for read and write operations.,"The ReadWriteLock interface (which extends from the Lock interface) specifies a lock that 
provides separate locks for read-only and write access. You can use the readLock() 
and writeLock() methods to get instances of read and write locks.
The ReentrantReadWriteLock class implements the ReadWriteLock interface.",
thread,,What is java.util.concurrent.Exchanger<V> used for?,"Exchanger – exchanging data between two threads. It waits until both the threads have 
called the exchange() method. When that’s happen the Exchanger object actually 
exchanges the data shared by the threads with each other",
thread,,What is java.util.concurrent.CyclicBarrier used for?,"There are many situations where threads may need to wait at a predefined 
execution point until all other threads reach that point.
CyclicBarrier enables threads to wait at a predefined execution point",
thread,,What's the purpose of java.util.concurrent.Phaser?,"Phaser is used to support a synchronization barrier.
useful feature when few independent threads have to work in phases to complete a task. 
So, a synchronization point is needed for the threads to complete other part of the task and 
do sync-up before advancing to complete the next part of the task.",
,,What is Semaphore in terms of threads?,"Semaphore controls access to one or more shared resources.  
Semaphore – acquire() , release() -> resources from Semaphore",
thread,,What is BlockingQueue?,"BlockingQueue – This interface extends the Queue interface
A Queue that additionally supports operations that wait for the queue to become non-empty when
retrieving an element, and wait for space to become available in the queue when storing an element.",
thread,,What is ArrayBlockingQueue?,"ArrayBlockingQueue – implements BlockingQueue and contains elements of type Delayed. 
An element can be retrieved from this queue only its delay period. ",
thread,,What is WeakHashMap and when to use it?,"WeakHashMap is used for more efficient memory cache.
Example: If we create a HashMap which have big image objects as Values and image names 
as Keys it will be a bad idea, because the value object may occupy a lot of memory.
They’ll never be reclaimed from the hashMap object by a GC process, even when they are 
not in use in our application anymore.
If we want a Map implementation that allows GC to automatically delete unused objects 
we can use WeakHashMap.

Code Example:
WeakHashMap<UniqueImageName, BigImage> map = new WeakHashMap<>();
BigImage bigImage = new BigImage(""image_id"");
UniqueImageName imageName = new UniqueImageName(""name_of_big_image"");
map.put(imageName, bigImage); 
imageName = null;

Note that when we set the imageName reference(the key value) to be null, there are no more 
references pointing to the bigImage object and this entry will be deleted from memory 
by the next GC process.",
thread,,"What will happen If we call start() or setDaemon() methods of 
a thread, that is already started ",it will throw IllegalThreadStateException (runtime),
"garbage 
collection",,What is Garbage Collection?,"Garbage collection is a process of reclaiming the runtime unused objects.
It is performed for memory management.",
thread,,What is a daemon thread?,"A daemon thread is a thread that does not prevent the JVM from exiting when the program 
finishes but the thread is still running. An example for a daemon thread is the garbage collection.

You can use the setDaemon(boolean) method to change the Thread daemon properties before the thread starts.",
garbage collection,,What is System.gc();,"gc() is a daemon thread.
gc() method is defined in System class that is used to send request to JVM to perform garbage collection.",
"garbage 
collection",,Types of garbage collection,"Serial GC
Parallel GC
Parallel Old GC (Parallel Compacting GC)
Concurrent Mark & Sweep GC (or ""CMS"")
Garbage First (G1) GC",
reflection,,What is reflection?,"Reflection is the process of examining or modifying the runtime behaviour of a class at runtime.
It is used in:
- IDE (Integreted Development Environment) e.g. Eclipse, MyEclipse, NetBeans.
- Debugger
- Test Tools etc.",
reflection,,Practical use cases of reflection,"1) Annotation-based serialization libraries often map class fields to JSON keys or XML elements (using annotations). 
    These libraries need reflection to inspect those fields and their annotations and also to access the values 
     during serialization.
2) Model-View-Controller frameworks call controller methods based on routing rules. These frameworks 
    must use reflection to find a method corresponding to an action name, check that its signature conforms to 
    what the framework expects (e.g. takes a Request object, returns a Response), and finally, invoke the method.
3) Dependency injection frameworks lean heavily on reflection. They use it to instantiate arbitrary beans for 
    injection, check fields for annotations such as @Inject to discover if they require injection of a bean, 
    and also to set those values.
4) Object-relational mappers such as Hibernate use reflection to map database columns to fields or 
    getter/setter pairs of a class, and can go as far as to infer table and column names by reading class 
    and getter names, respectively.","Class cls = Class.forName(""MyClass"");
MyClass obj = (MyClass) cls.newInstance();

MyClass2 obj1 = new MyClass2();
MyClass2 obj2 = (MyClass2) obj1.clone();"
algorithms,,Do you know any algorithms? Have you used any?,"Searching algorithms - ...
Sorting algorithms - ...",
algorithms,,Give examples for some algorithms for searching / sorting,,
algorithms,,"Can you describe a Graph. 
What are its applications and how it's implemented?","- A graph is a data structure for storing connected data like a network of people on a social media platform.
- A graph consists of vertices and edges. A vertex represents the entity (for example, people) and an edge 
represents the relationship between entities (for example, a person’s friendships).
- Ways to represent: 
    - An adjacency matrix is a square matrix with dimensions equivalent to the number of vertices in the graph. 
      The elements of the matrix typically have values ‘0’ or ‘1’. A value of ‘1’ indicates adjacency between the 
      vertices in the row and column and a value of ‘0’ otherwise.",
algorithms,,"What is Binary Sorted Tree? 
Have you used it?
What problems have you solved with it?","Binary search tree = ordered tree = sorted binary tree
allow fast lookup, addition and removal of items, and can be used to implement either dynamic sets of items, 
or lookup tables that allow finding an item by its key (e.g., finding the phone number of a person by name).

inary search trees keep their keys in sorted order, so that lookup and other operations can use the principle of 
binary search: when looking for a key in a tree (or a place to insert a new key), they traverse the tree from root 
to leaf, making comparisons to keys stored in the nodes of the tree and deciding, on the basis of the comparison, 
to continue searching in the left or right subtrees. ",
algorithms,,What is the algorithmic complexity for search an element in array?,"Depends on the approach you use
- Linear search
- Binary search",
algorithms,,"What is the algorithmic complexity of 2 nested for loops?
for(int i = 0; i < 1000; i++) {
     for(int j = 0; j < 100000; j++) {
     }
}",O(n^2),
algorithms,,Code a program which can sum the numbers from 1 to 100: 1+2+3+.....+100.,"(100 * 101) / 2

var sum = 0;
for(var i=1; i<101; i++) { sum+=i;} 
console.log(sum);",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,"Ø (JSE/SE/SSE): Модифицирайте следния код на Java така, че променлива да бъде immutable:",,
,,,,
,,Ø int year = 2018;,,
,,,,
,,Ø (JSE/SE/SSE): Каква е разликата между класовете StringBuilder и StringBuffer в Java?,,
,,,,
,,Ø (JSE/SE/SSE): Какви системи за Version control познавате?,,
,,,,
,,Ø (SE/SSE): Какви са концептуалните разлики между git и SVN?,,
,,,,
,,Ø (SE/SSE): С какви IDE-та имате опит?,,
,,,,
,,Ø (SE/SSE): Explain what is a side-effect.,,
